id,jobs,links,description,industry,job_type
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,PRIMARY RESPONSIBILITIES,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Create new business models for emerging businesses and technologies.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,New products development planning and rollout management.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Appropriate communication and liaison with all departments in the actualization of business opportunities.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Identify and reach potential clients to offer Company’s products and services. ,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Monitor existing client needs and opportunities to appropriately cross-sell products. ,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Observe and understand Industry behavior/trends. Monitor competitor offers and products. ,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Maintain & develop relationships with potential leads and clients. ,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Reply to demands or questions from clients in timely manner to ensure healthy impact on both sides. ,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,"Ensure generation of weekly and monthly performance reports, or as may be determined from time to time.",IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,"Responsible for Request for Information (RFIs), Request for Quotations (RFQs), Tenders and Pre-Qualifications.",IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,KNOWLEDGE AND SKILLS REQUIREMENTS ,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,"A degree in Business Administration, Marketing or equivalent from a reputable university qualification is recommended, but a proven background in business development may be sufficient.",IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,A proven track record in strong presentation skills is essential in the role of Business Developer.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Strong track of business-to-business sales records at a corporate level.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Strong research and strategic analysis skills.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,"Excellent communication skills, both verbal and written, and be able to cold call potential clients with confidence are key for a successful business developer.",IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Well skilled at agreeing and closing deals with clients.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Excellent organizational skills are essential as well as performance monitoring will be a requirement.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,Must be able to operate Microsoft Office and associated programs.,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,,IT & Telecoms,Full Time
1,Business Developer,https://www.brightermonday.co.ug/listings/business-developer-99grmv,,IT & Telecoms,Full Time
2,Executive Chef,https://www.brightermonday.co.ug/listings/executive-chef-85gk0j,"•    Responsible for all food production and quality of the food in the kitchen.•    Do duty management shifts and stand in for General manager when required.•    In conjunction with the General Manager to develop food styles, menus and menu costings.•    Menu design and costing for events and functions.•    Control food stocks, set par stocks and order accordingly.•    Source new speciality products, ingredients and suppliers.•    Maintain all health and safety rules and regulations in the kitchen•    To account for the usage, consumption, spoilage and control of all food stuff produced or stored under his supervision.•    To maintain and enforce such systems and methods in the area of F&B production as laid down by the management.•    To develop new products and improve on existing recipes and research new methods of food preparation.•    To work closely with the General Manager, managers and supervisors in the F&B Service Area/ restaurants for the attainment of profit, quality and service standards of the department and the property.•    Conduct performance appraisal for all staff in the kitchen department•    To formulate and ensure adherence to standard recipes.•    To personally supervise the maintenance of proper cooking, thawing and storage temperatures for all raw and cooked food in his/ her department.•    To keep abreast with the competition by conducting periodic competition and market surveys.•    To co-ordinate with the receiving manager for checking of the equipment in order to ensure conformity with specified/ expected standards.•    To co-ordinate pest control operations for the entire kitchen and guest area.•    To make conscious and continuous efforts to develop local suppliers to substitute imported/ expensive items. Qualifications•    At least 5 years and above of experience as an Executive Chef•    Extensive experience of continental cuisine, desert and pastry.•    Indian Mughlai Cuisine experience is a Must•    Experience in Al A Carte restaurants•    Catering Banquets and functions•    Must be good in using material control systems and computer usage.•    Fluent in written and spoken English•    Team leader and a team player.•    Training of staff•    IT literate in Microsoft office•    Knowledge and experience with Property and inventory management systems – Micros would be an advantage",Hospitality & Hotel,Full Time
2,Executive Chef,https://www.brightermonday.co.ug/listings/executive-chef-85gk0j,Please send your CV to jobs@alternatedoors.co.ke ,Hospitality & Hotel,Full Time
3,Regional Sales Manager,https://www.brightermonday.co.ug/listings/religoin-sales-manager-x2qg4z,"Frist  stage ,to  know  yeast  field  from users and  market  deeply 1) Visit  around  6-8  bakeries/users  outside   everyday ,   to know  current  using  yeast  brand , price  , supplier , other  ingredients  ;2) Visit  wholesale market  to  collect  distributors  info., to discuss  yeast  cooperation  ;3) Help  our  agent   to  distribute  yeast  stocks  into   bakeries  ,  retail  shops , market  etc . 4) Find  out  all  importers  to  cooperate  .5) Make  advertisemnet  ,like  banners , car painting etc .Second  stage / career development1) Learn  about  international  business  2) Charge  some  agents  directly  and  collect orders  ,  follow  production/shipment/docs/payment .3) Make  market  plan  for  Ethiopia  and  develop  business  .4) To  be a  excellent  international  manager  and  charge  more  countries  business .","Retail, Fashion & FMCG",Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,Reports to: Back Office Manager,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,Grade Level: ,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,TBD,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,Supervises: N/A,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,ROLES AND RESPONSIBILITIES,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,Department Overview:,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,"• The Windows Server-Messaging department implements and maintains the Windows Server platform hardware, operating system and associated core services including Exchange email, file, and print servers.",IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,"• The Windows System Engineer’s role is to design, install, administer, and optimize Microsoft Windows servers and related components to achieve and maintain high performance of business applications. This includes ensuring the availability of client/server applications, configuring new implementations, and developing processes and procedures for ongoing management of the server environment. This position shares responsibility for the security, integrity, and safety of the data center/server farm. Scope of responsibilities include server hardware, Windows Server operating systems, core Microsoft back office technologies, and 3rd party infrastructure software and applications.",IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,"• Assist in the implementation of approved policies and procedures for Windows Server Operating System design, implementation and maintenance.",IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,• Provide input in the planning of Windows operating systems upgrades and deployment.,IT & Telecoms,Full Time
4,Microsoft Windows (Wintel) Server Engineer,https://www.brightermonday.co.ug/listings/microsoft-windows-wintel-server-engineer-rv7np5,• Provide support in the implementation and user acceptance testing of Windows operating systems.,IT & Telecoms,Full Time
